model_id,source_id,deployment,provider_model_id,source_revision,checkpoint_fingerprint_sha256,reasoning_mode,dtype,transformers_version,torch_version,do_sample,temperature,top_p,top_k,min_p,repetition_penalty,max_output_tokens,context_limit,main_system_prompt_policy
Baichuan2-7B-Chat,baichuan-inc/Baichuan2-7B-Chat,local,,,6e4456b98f394f45b65d9a231ae5a5a6e97e3cb0e7d713369e2320e22d6c4f5c,none,bfloat16,4.29.2,2.7.1+cu126,False,,,,,,2048,4096,qa_v4_5 only; see configs/qa_system_prompt.txt; none for other main tasks
deepseek-llm-7b-chat,deepseek-ai/deepseek-llm-7b-chat,local,,,70c364c1c5e7f5800b7e200cb834bba90b6fb0084188fbc148a58e2b554e3351,none,bfloat16,4.57.3,2.7.1+cu126,False,,,,,,2048,4096,qa_v4_5 only; see configs/qa_system_prompt.txt; none for other main tasks
glm-4-9b-chat,zai-org/glm-4-9b-chat,local,,,05ceacec9f1f20e723597b8c99ee29b42ce42ad34e86001f4664e367190df329,none,bfloat16,4.44.2,2.7.1+cu126,False,,,,,,2048,128000,qa_v4_5 only; see configs/qa_system_prompt.txt; none for other main tasks
internlm2_5-7b-chat,internlm/internlm2_5-7b-chat,local,,,8e04614f3bd523a323cd113f81ce3466afcca78e3ac11892056d2f6737df063d,none,float16,4.41.0,2.7.1+cu126,False,,,,,,2048,32768,qa_v4_5 only; see configs/qa_system_prompt.txt; none for other main tasks
chatglm3-6b,zai-org/chatglm3-6b,local,,,773ab4f80da322a4acb85b1bd15b3b55f8c8714b0bb8f621e3945dcbfd5ac83e,none,float16,4.30.2,2.7.1+cu126,False,,,,,,2048,8192,qa_v4_5 only; see configs/qa_system_prompt.txt; none for other main tasks
Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,local,,,d88db97ef7ee749e4a1fba15d3d78d76dfe97d6f138cd77059fa8e78197d378f,none,bfloat16,4.57.3,2.7.1+cu126,False,,,,,,2048,32768,qa_v4_5 only; see configs/qa_system_prompt.txt; none for other main tasks
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,local,,,07b9a9ecdb146c42de34030471900aaf15c272f8e385cd0d20e601b037e930c7,none,bfloat16,4.57.3,2.7.1+cu126,False,,,,,,2048,32768,qa_v4_5 only; see configs/qa_system_prompt.txt; none for other main tasks
Qwen3-8B-NonThinking,Qwen/Qwen3-8B,local,,,074bf513af8b7c714cd10fda08963714cfd2f94182afbc9854482ab910d46868,non-thinking,bfloat16,4.57.3,2.7.1+cu126,True,0.7,0.8,20,0.0,,2048,40960,qa_v4_5 only; see configs/qa_system_prompt.txt; none for other main tasks
Qwen3-8B-Thinking,Qwen/Qwen3-8B,local,,,074bf513af8b7c714cd10fda08963714cfd2f94182afbc9854482ab910d46868,thinking,bfloat16,4.57.3,2.7.1+cu126,True,0.6,0.95,20,0.0,,32768,40960,qa_v4_5 only; see configs/qa_system_prompt.txt; none for other main tasks
QwQ-32B,Qwen/QwQ-32B,local,,,902fd4e47f4778a76ccc4ab18864892a1d9c65cc91de2036e03e6c44effa547e,native-reasoning,bfloat16,4.57.3,2.7.1+cu126,True,0.6,0.95,40,,1.0,32768,40960,qa_v4_5 only; see configs/qa_system_prompt.txt; none for other main tasks
Doubao,Doubao-Seed-1.6,third_party_openai_compatible,doubao-seed-1-6-250615,,,non-thinking,,,,,0.0,1.0,,,,2048,,qa_v4_5 only; see configs/qa_system_prompt.txt; none for other main tasks
DeepSeek-R1-Distill-Qwen-32B,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,local,,,10b2a766c7c60d6915752b608a2c01c19ac8bc7e66d3bfd7e7f89cd0a93ca562,native-reasoning,bfloat16,4.43.1,2.7.1+cu126,True,0.6,0.95,0,,1.0,32768,16384,qa_v4_5 only; see configs/qa_system_prompt.txt; none for other main tasks
