model_id,task_id,condition,total,reuse,new_generation
Baichuan2-7B-Chat,classification,G3,120,71,49
Baichuan2-7B-Chat,classification,W3,120,72,48
Baichuan2-7B-Chat,qa_v4_5,G3,120,72,48
Baichuan2-7B-Chat,qa_v4_5,L3,120,72,48
Baichuan2-7B-Chat,qa_v4_5,W3,120,75,45
Baichuan2-7B-Chat,reasoning,G3,120,72,48
Baichuan2-7B-Chat,reasoning,W3,120,71,49
Baichuan2-7B-Chat,relationship,G3,120,69,51
Baichuan2-7B-Chat,relationship,W3,120,72,48
Baichuan2-7B-Chat,structuring,G3,120,73,47
Baichuan2-7B-Chat,structuring,W3,120,65,55
QwQ-32B,classification,G3,120,71,49
QwQ-32B,classification,W3,120,72,48
QwQ-32B,qa_v4_5,G3,120,72,48
QwQ-32B,qa_v4_5,L3,120,72,48
QwQ-32B,qa_v4_5,W3,120,75,45
QwQ-32B,reasoning,G3,120,72,48
QwQ-32B,reasoning,W3,120,71,49
QwQ-32B,relationship,G3,120,69,51
QwQ-32B,relationship,W3,120,72,48
QwQ-32B,structuring,G3,120,73,47
QwQ-32B,structuring,W3,120,65,55
Qwen2.5-7B-Instruct,classification,G3,120,71,49
Qwen2.5-7B-Instruct,classification,W3,120,72,48
Qwen2.5-7B-Instruct,qa_v4_5,G3,120,72,48
Qwen2.5-7B-Instruct,qa_v4_5,L3,120,72,48
Qwen2.5-7B-Instruct,qa_v4_5,W3,120,75,45
Qwen2.5-7B-Instruct,reasoning,G3,120,72,48
Qwen2.5-7B-Instruct,reasoning,W3,120,71,49
Qwen2.5-7B-Instruct,relationship,G3,120,69,51
Qwen2.5-7B-Instruct,relationship,W3,120,72,48
Qwen2.5-7B-Instruct,structuring,G3,120,73,47
Qwen2.5-7B-Instruct,structuring,W3,120,65,55
Qwen3-8B-NonThinking,classification,G3,120,71,49
Qwen3-8B-NonThinking,classification,W3,120,72,48
Qwen3-8B-NonThinking,qa_v4_5,G3,120,72,48
Qwen3-8B-NonThinking,qa_v4_5,L3,120,72,48
Qwen3-8B-NonThinking,qa_v4_5,W3,120,75,45
Qwen3-8B-NonThinking,reasoning,G3,120,72,48
Qwen3-8B-NonThinking,reasoning,W3,120,71,49
Qwen3-8B-NonThinking,relationship,G3,120,69,51
Qwen3-8B-NonThinking,relationship,W3,120,72,48
Qwen3-8B-NonThinking,structuring,G3,120,73,47
Qwen3-8B-NonThinking,structuring,W3,120,65,55
Qwen3-8B-Thinking,classification,G3,120,71,49
Qwen3-8B-Thinking,classification,W3,120,72,48
Qwen3-8B-Thinking,qa_v4_5,G3,120,72,48
Qwen3-8B-Thinking,qa_v4_5,L3,120,72,48
Qwen3-8B-Thinking,qa_v4_5,W3,120,75,45
Qwen3-8B-Thinking,reasoning,G3,120,72,48
Qwen3-8B-Thinking,reasoning,W3,120,71,49
Qwen3-8B-Thinking,relationship,G3,120,69,51
Qwen3-8B-Thinking,relationship,W3,120,72,48
Qwen3-8B-Thinking,structuring,G3,120,73,47
Qwen3-8B-Thinking,structuring,W3,120,65,55
