model_id,task_id,contrast,interpretation,orders_per_item,status,n_items,n_clusters,mean_a_100,mean_b_100,difference_100,ci95_low_100,ci95_high_100,p_cluster_swap,resamples,six_order_differences_01,dominant_nonzero_order_sign_share,p_holm,significant_holm_0_05,holm_family_size,holm_incomplete_family_conservative
Baichuan2-7B-Chat,classification,W3-G3,wrong-demonstration label susceptibility,6,COMPUTED,20,20,10.833333333333336,11.666666666666666,-0.8333333333333317,-10.0,7.500000000000001,1.0,10000,"[0.0, -0.09999999999999999, 0.0, 0.09999999999999999, 0.0, -0.05000000000000002]",0.6666666666666666,1.0,False,30,False
Baichuan2-7B-Chat,reasoning,W3-G3,wrong-demonstration label susceptibility,6,COMPUTED,20,20,95.0,98.33333333333334,-3.3333333333333437,-9.999999999999998,0.0,1.0,10000,"[-0.050000000000000044, -0.050000000000000044, 0.0, 0.0, -0.050000000000000044, -0.050000000000000044]",1.0,1.0,False,30,False
Baichuan2-7B-Chat,structuring,W3-G3,wrong-demonstration label susceptibility,6,COMPUTED,20,20,66.6250243286069,70.90025031809255,-4.275225989485653,-10.387534545332912,-0.3257357833888783,0.06129387061293871,10000,"[-0.04051441563583613, -0.047793730570362736, -0.04429670910092687, -0.08198467983875013, -0.051279682455382725, 0.00935565823211959]",0.8333333333333334,1.0,False,30,False
Baichuan2-7B-Chat,relationship,W3-G3,wrong-demonstration label susceptibility,6,COMPUTED,20,20,31.42361111111111,40.14869888475837,-8.725087773647255,-15.477552830395222,-2.229850311352707,0.027897210278972105,10000,"[0.00881696246679381, -0.2452066842568162, -0.14815531475748192, -0.065343258891646, -0.03434815100189842, -0.04146214099216711]",0.8333333333333334,0.7811218878112189,False,30,False
Baichuan2-7B-Chat,qa_v4_5,W3-L3,wrong-demonstration label susceptibility,6,COMPUTED,20,16,20.0,20.0,0.0,0.0,0.0,1.0,10000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,1.0,False,30,False
Baichuan2-7B-Chat,qa_v4_5,L3-G3,"rationale-content effect, not length-isolated effect",6,COMPUTED,20,16,20.0,20.0,0.0,0.0,0.0,1.0,10000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,1.0,False,30,False
QwQ-32B,classification,W3-G3,wrong-demonstration label susceptibility,6,COMPUTED,20,20,80.83333333333336,83.33333333333333,-2.499999999999969,-8.333333333333325,3.3333333333333326,0.6006399360063993,10000,"[-0.050000000000000044, 0.09999999999999998, 0.0, -0.04999999999999993, -0.15000000000000002, 0.0]",0.75,1.0,False,30,False
QwQ-32B,reasoning,W3-G3,wrong-demonstration label susceptibility,6,COMPUTED,20,20,96.66666666666666,100.0,-3.3333333333333437,-9.166666666666657,0.0,0.5062493750624938,10000,"[-0.050000000000000044, 0.0, 0.0, 0.0, -0.09999999999999998, -0.050000000000000044]",1.0,1.0,False,30,False
QwQ-32B,structuring,W3-G3,wrong-demonstration label susceptibility,6,COMPUTED,20,20,80.24109154263506,81.26515195945636,-1.024060416821304,-3.3243001028318724,1.0631863766188865,0.31686831316868314,10000,"[-0.005886974741274309, -0.043380432153248716, 0.00024363792715254018, -0.006979338493559251, 0.038977422282090335, -0.0444179398304374]",0.6666666666666666,1.0,False,30,False
QwQ-32B,relationship,W3-G3,wrong-demonstration label susceptibility,6,COMPUTED,20,20,98.28092243186582,98.49246231155779,-0.21153987969197985,-0.9646069045547101,0.7385552881759891,0.7489251074892511,10000,"[-0.005037783375314908, 0.007594458438287099, 0.00736775818639801, -0.02015113350125952, -0.002594458438287095, 0.0]",0.6,1.0,False,30,False
QwQ-32B,qa_v4_5,W3-L3,wrong-demonstration label susceptibility,6,COMPUTED,20,16,96.66666666666669,98.33333333333331,-1.6666666666666385,-3.968253968253954,0.0,0.4981501849815019,10000,"[-0.050000000000000044, 0.0, 0.050000000000000044, 0.0, -0.050000000000000044, -0.050000000000000044]",0.75,1.0,False,30,False
QwQ-32B,qa_v4_5,L3-G3,"rationale-content effect, not length-isolated effect",6,COMPUTED,20,16,98.33333333333331,99.16666666666669,-0.8333333333333637,-2.777777777777779,0.0,1.0,10000,"[0.0, 0.0, -0.050000000000000044, 0.0, 0.0, 0.0]",1.0,1.0,False,30,False
Qwen2.5-7B-Instruct,classification,W3-G3,wrong-demonstration label susceptibility,6,COMPUTED,20,20,69.16666666666667,73.33333333333334,-4.166666666666674,-9.166666666666679,0.0,0.24427557244275572,10000,"[-0.050000000000000044, -0.050000000000000044, -0.04999999999999993, 0.0, -0.050000000000000044, -0.050000000000000044]",1.0,1.0,False,30,False
Qwen2.5-7B-Instruct,reasoning,W3-G3,wrong-demonstration label susceptibility,6,COMPUTED,20,20,94.16666666666667,95.0,-0.8333333333333304,-2.500000000000002,0.0,1.0,10000,"[0.0, 0.0, 0.0, 0.0, -0.04999999999999993, 0.0]",1.0,1.0,False,30,False
Qwen2.5-7B-Instruct,structuring,W3-G3,wrong-demonstration label susceptibility,6,COMPUTED,20,20,79.931256479792,80.91517239836072,-0.983915918568723,-1.6728879602738784,-0.28554995077486955,0.0160983901609839,10000,"[-0.00929013211827745, -0.009166241534048769, -0.015257081773968562, -0.006074906307275363, -0.006216552239890483, -0.013030041140663862]",1.0,0.46685331466853314,False,30,False
Qwen2.5-7B-Instruct,relationship,W3-G3,wrong-demonstration label susceptibility,6,COMPUTED,20,20,60.807600950118754,75.05960896518837,-14.252008015069617,-19.927861506263245,-9.643431134021393,9.999000099990002e-05,10000,"[-0.07571428571428573, -0.06748684743019018, -0.12024544036883855, -0.22937710437710435, -0.15602142110762807, -0.20316730043972886]",1.0,0.0029997000299970007,True,30,False
Qwen2.5-7B-Instruct,qa_v4_5,W3-L3,wrong-demonstration label susceptibility,6,COMPUTED,20,16,68.33333333333333,67.5,0.8333333333333304,-1.7543859649122862,3.703703703703698,1.0,10000,"[0.0, 0.0, 0.0, -0.050000000000000044, 0.050000000000000044, 0.050000000000000044]",0.6666666666666666,1.0,False,30,False
Qwen2.5-7B-Instruct,qa_v4_5,L3-G3,"rationale-content effect, not length-isolated effect",6,COMPUTED,20,16,67.5,66.66666666666666,0.8333333333333415,0.0,2.500000000000002,1.0,10000,"[0.0, 0.0, 0.0, 0.050000000000000044, 0.0, 0.0]",1.0,1.0,False,30,False
Qwen3-8B-NonThinking,classification,W3-G3,wrong-demonstration label susceptibility,6,COMPUTED,20,20,53.333333333333336,66.66666666666667,-13.333333333333341,-29.999999999999993,0.8333333333333304,0.1444855514448555,10000,"[-0.09999999999999998, -0.09999999999999998, -0.2, -0.15000000000000002, -0.1499999999999999, -0.09999999999999998]",1.0,1.0,False,30,False
Qwen3-8B-NonThinking,reasoning,W3-G3,wrong-demonstration label susceptibility,6,COMPUTED,20,20,86.66666666666666,95.83333333333334,-9.166666666666679,-19.166666666666675,-0.8333333333333415,0.12428757124287572,10000,"[-0.09999999999999998, -0.15000000000000002, -0.050000000000000044, -0.09999999999999998, -0.09999999999999998, -0.04999999999999993]",1.0,1.0,False,30,False
Qwen3-8B-NonThinking,structuring,W3-G3,wrong-demonstration label susceptibility,6,COMPUTED,20,20,81.00629759380006,80.73564274622356,0.2706548475765014,-0.426257626528039,0.9671170847455359,0.4764523547645235,10000,"[0.0026635815459655765, 0.0006897828293581654, -0.0007978300277240447, 0.00538522176512557, 0.003582189513072098, 0.00471634522879083]",0.8333333333333334,1.0,False,30,False
Qwen3-8B-NonThinking,relationship,W3-G3,wrong-demonstration label susceptibility,6,COMPUTED,20,20,79.19962773382969,78.15126050420169,1.048367229628011,-2.544828587043409,6.00113821078083,0.7597240275972402,10000,"[0.014484679665738187, 0.00507288255313687, 0.02905027932960902, 0.027204101979774964, -0.04304020800445718, 0.0300286319513956]",0.8333333333333334,1.0,False,30,False
Qwen3-8B-NonThinking,qa_v4_5,W3-L3,wrong-demonstration label susceptibility,6,COMPUTED,20,16,82.5,83.33333333333334,-0.8333333333333415,-2.777777777777779,0.0,1.0,10000,"[0.0, 0.0, -0.050000000000000044, 0.0, 0.0, 0.0]",1.0,1.0,False,30,False
Qwen3-8B-NonThinking,qa_v4_5,L3-G3,"rationale-content effect, not length-isolated effect",6,COMPUTED,20,16,83.33333333333334,80.0,3.3333333333333326,-4.999999999999993,14.28571428571428,1.0,10000,"[-0.050000000000000044, -0.050000000000000044, 0.09999999999999998, 0.04999999999999993, 0.09999999999999998, 0.04999999999999993]",0.6666666666666666,1.0,False,30,False
