task_id,shot,contrast,interpretation,status,n_items,n_clusters,mean_a_100,mean_b_100,difference_100,ci95_low_100,ci95_high_100,p_cluster_swap,resamples,p_holm,significant_holm_0_05,holm_family_size,holm_incomplete_family_conservative
classification,0,Thinking - NonThinking,"operational mode/configuration comparison; sampling settings and token budgets also differ, not isolated mode causality",COMPUTED,100,100,71.0,56.99999999999999,14.000000000000002,4.999999999999993,23.000000000000004,0.006799320067993201,10000,0.07479252074792521,False,15,False
classification,1,Thinking - NonThinking,"operational mode/configuration comparison; sampling settings and token budgets also differ, not isolated mode causality",COMPUTED,100,100,77.0,59.0,18.000000000000004,8.000000000000007,27.0,0.0006999300069993001,10000,0.009099090090990901,True,15,False
classification,3,Thinking - NonThinking,"operational mode/configuration comparison; sampling settings and token budgets also differ, not isolated mode causality",COMPUTED,100,100,76.0,63.0,13.0,4.999999999999993,21.999999999999996,0.0072992700729927005,10000,0.07479252074792521,False,15,False
reasoning,0,Thinking - NonThinking,"operational mode/configuration comparison; sampling settings and token budgets also differ, not isolated mode causality",COMPUTED,100,100,99.0,95.0,4.0000000000000036,0.0,8.999999999999996,0.21957804219578042,10000,1.0,False,15,False
reasoning,1,Thinking - NonThinking,"operational mode/configuration comparison; sampling settings and token budgets also differ, not isolated mode causality",COMPUTED,100,100,100.0,98.0,2.0000000000000018,0.0,5.000000000000004,0.49305069493050696,10000,1.0,False,15,False
reasoning,3,Thinking - NonThinking,"operational mode/configuration comparison; sampling settings and token budgets also differ, not isolated mode causality",COMPUTED,100,100,98.0,97.0,1.0000000000000009,-3.0000000000000027,5.000000000000004,1.0,10000,1.0,False,15,False
structuring,0,Thinking - NonThinking,"operational mode/configuration comparison; sampling settings and token budgets also differ, not isolated mode causality",COMPUTED,100,100,78.26953504019455,80.18841690073693,-1.9188818605423652,-5.40098541376621,1.3232588724892578,0.21127887211278873,10000,1.0,False,15,False
structuring,1,Thinking - NonThinking,"operational mode/configuration comparison; sampling settings and token budgets also differ, not isolated mode causality",COMPUTED,100,100,81.50212047909987,80.90144143339218,0.6006790457076971,0.07663732392661773,1.113577065052023,0.0217978202179782,10000,0.19618038196180382,False,15,False
structuring,3,Thinking - NonThinking,"operational mode/configuration comparison; sampling settings and token budgets also differ, not isolated mode causality",COMPUTED,100,100,81.59527512713838,81.03700810008586,0.558267027052517,0.06876233868836984,1.0619027868078585,0.028397160283971604,10000,0.22717728227177283,False,15,False
relationship,0,Thinking - NonThinking,"operational mode/configuration comparison; sampling settings and token budgets also differ, not isolated mode causality",COMPUTED,50,50,75.65543071161048,43.669250645994836,31.98618006561565,24.160659229595076,40.12401908171668,9.999000099990002e-05,10000,0.0014998500149985003,True,15,False
relationship,1,Thinking - NonThinking,"operational mode/configuration comparison; sampling settings and token budgets also differ, not isolated mode causality",COMPUTED,50,50,95.06726457399103,82.13851761846902,12.928746955522008,6.080244054318988,21.592530164739667,0.00029997000299970003,10000,0.004199580041995801,True,15,False
relationship,3,Thinking - NonThinking,"operational mode/configuration comparison; sampling settings and token budgets also differ, not isolated mode causality",COMPUTED,50,50,94.7603121516165,80.34398034398035,14.416331807636151,6.403898665728964,22.4686484995088,0.0008999100089991,10000,0.010798920107989201,True,15,False
qa_v4_5,0,Thinking - NonThinking,"operational mode/configuration comparison; sampling settings and token budgets also differ, not isolated mode causality",COMPUTED,100,50,92.0,86.0,6.000000000000005,2.0000000000000018,10.999999999999998,0.0301969803019698,10000,0.22717728227177283,False,15,False
qa_v4_5,1,Thinking - NonThinking,"operational mode/configuration comparison; sampling settings and token budgets also differ, not isolated mode causality",COMPUTED,100,50,91.0,85.0,6.000000000000005,1.0000000000000009,12.0,0.0643935606439356,10000,0.38636136386361364,False,15,False
qa_v4_5,3,Thinking - NonThinking,"operational mode/configuration comparison; sampling settings and token budgets also differ, not isolated mode causality",COMPUTED,100,50,89.0,88.0,1.0000000000000009,-2.0000000000000018,4.0000000000000036,1.0,10000,1.0,False,15,False
