model_id,task_id,condition_id,semantic_policy,primary_judge,status,n_outputs,n_items,n_clusters,score_100,ci95_low_100,ci95_high_100,resamples,strict_format_rate,recoverable_parse_rate,budget_cap_rate,final_delivered_rate,mean_output_han_chars,SC_recoverable_100,SC_ci95_low_100,SC_ci95_high_100,SA_field_100,SA_ci95_low_100,SA_ci95_high_100,field_completeness_100,positional_three_line_recovery_rate,semantic_missing,CNHI_definition,label_coverage_100,SA_100,strict_schema_rate,CNHI_missing_score_bound_low_100,CNHI_missing_score_bound_high_100
Baichuan2-7B-Chat,structuring,0shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,72.04549648823057,68.06197637607964,75.37595894398306,10000,0.06,0.94,0.01,1.0,90.87,94.0,89.0,98.0,61.139300157626465,59.669916018595295,62.550506083170575,98.00000000000001,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,61.139300157626465,0.06,72.04549648823057,72.04549648823057
Baichuan2-7B-Chat,structuring,1shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,80.0683145051949,79.28097507963058,80.85964322287776,10000,1.0,1.0,0.0,1.0,71.33,100.0,100.0,100.0,66.95380813876787,65.83338674182693,68.09350322286288,100.0,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,66.95380813876787,1.0,80.0683145051949,80.0683145051949
Baichuan2-7B-Chat,structuring,3shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,79.67905697979003,78.86019132313467,80.50192998143689,10000,1.0,1.0,0.0,1.0,74.64,100.0,100.0,100.0,66.43111230929692,65.26708751693367,67.59370296845833,100.0,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,66.43111230929692,1.0,79.67905697979003,79.67905697979003
DeepSeek-R1-Distill-Qwen-32B,structuring,0shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,65.666620736804,59.35848533898282,71.5840757242153,10000,0.11,0.82,0.0,1.0,121.06,82.0,74.0,89.0,58.20733606815338,54.02619934454561,62.024469298372665,87.33333333333331,0.36,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,58.20733606815338,0.11,65.666620736804,65.666620736804
DeepSeek-R1-Distill-Qwen-32B,structuring,1shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,75.67075080146864,71.55522321740155,79.09659131794902,10000,0.94,0.94,0.0,1.0,73.57,94.0,89.0,98.0,64.61567149559656,62.04398754611612,66.86398589884242,96.0,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,64.61567149559656,0.94,75.67075080146864,75.67075080146864
DeepSeek-R1-Distill-Qwen-32B,structuring,3shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,75.80945167715436,71.45932511079381,79.5928514810157,10000,0.93,0.93,0.0,1.0,71.08,93.0,87.0,98.0,65.76292688647905,63.09535836850604,68.17501711919904,95.66666666666669,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,65.76292688647905,0.93,75.80945167715436,75.80945167715436
Doubao,structuring,0shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,78.5065919397823,76.50818204046145,79.85798956119675,10000,0.0,0.99,0.0,1.0,78.36,99.0,97.0,100.0,65.20369310180347,63.42567609672746,66.65403516963126,99.0,0.94,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,65.20369310180347,0.0,78.5065919397823,78.5065919397823
Doubao,structuring,1shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,79.2101817384964,77.21851790858516,80.60533909688722,10000,0.75,0.99,0.0,1.0,87.34,99.0,97.0,100.0,66.38183940450351,64.90383488585553,67.73839764470854,99.33333333333331,0.01,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,66.38183940450351,0.75,79.2101817384964,79.2101817384964
Doubao,structuring,3shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,80.383867231026,79.58628998416266,81.20133612159148,10000,1.0,1.0,0.0,1.0,82.15,100.0,100.0,100.0,67.40174037218094,66.26106234937907,68.53016778677701,100.0,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,67.40174037218094,1.0,80.383867231026,80.383867231026
Mistral-7B-Instruct-v0.3,structuring,0shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,54.73039679186563,47.91001657419996,61.16704322943909,10000,0.66,0.72,0.01,1.0,95.1,72.0,63.0,81.0,51.50760644674301,47.50031828433275,55.27663375884294,83.33333333333331,0.01,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,51.50760644674301,0.66,54.73039679186563,54.73039679186563
Mistral-7B-Instruct-v0.3,structuring,1shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,77.43178057104932,76.74759270216516,78.15453568372448,10000,1.0,1.0,0.0,1.0,77.44,100.0,100.0,100.0,63.3183411260446,62.36947573696573,64.29893868838747,100.0,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,63.3183411260446,1.0,77.43178057104932,77.43178057104932
Mistral-7B-Instruct-v0.3,structuring,3shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,77.60864713154949,75.65548396518709,78.96104160696069,10000,0.99,0.99,0.0,1.0,77.45,99.0,97.0,100.0,64.33627184232077,63.17497115433216,65.45870518311858,99.66666666666666,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,64.33627184232077,0.99,77.60864713154949,77.60864713154949
QwQ-32B,structuring,0shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,79.97335913931792,77.31230430646906,81.90949380407172,10000,0.12,0.98,0.0,1.0,73.55,98.0,95.0,100.0,68.06916862726212,66.16188497493664,69.54571078519027,98.66666666666669,0.7,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,68.06916862726212,0.12,79.97335913931792,79.97335913931792
QwQ-32B,structuring,1shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,81.8637920732743,81.1435599097293,82.57335358585384,10000,0.03,1.0,0.0,1.0,65.8,100.0,100.0,100.0,69.46259729067484,68.40472898930311,70.50274723296364,100.0,0.49,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,69.46259729067484,0.03,81.8637920732743,81.8637920732743
QwQ-32B,structuring,3shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,81.66121870015145,79.64463254397923,83.02345124903724,10000,0.12,0.99,0.0,1.0,66.32,99.0,97.0,100.0,69.64884447058041,67.74297571778295,71.15161244968573,99.0,0.39,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,69.64884447058041,0.12,81.66121870015145,81.66121870015145
Qwen2.5-7B-Instruct,structuring,0shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,55.12451168309413,48.10454072259395,61.83977613443831,10000,0.41,0.71,0.0,1.0,76.03,71.0,62.0,80.0,56.36107174555461,53.40852584540844,59.08527419616778,87.66666666666666,0.28,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,56.36107174555461,0.41,55.12451168309413,55.12451168309413
Qwen2.5-7B-Instruct,structuring,1shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,80.02526878730869,77.97145673339865,81.49108752490606,10000,0.99,0.99,0.0,1.0,73.31,99.0,97.0,100.0,67.35960560043654,65.42266469200453,68.94866579398511,99.0,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,67.35960560043654,0.99,80.02526878730869,80.02526878730869
