model_id,task_id,shot,metric,n_items,n_clusters,estimate_100
Baichuan2-7B-Chat,classification,0,accuracy,100,100,13.0
Baichuan2-7B-Chat,classification,0,macro_f1,100,100,9.075288972196189
Baichuan2-7B-Chat,classification,1,accuracy,100,100,28.999999999999996
Baichuan2-7B-Chat,classification,1,macro_f1,100,100,23.339032962857413
Baichuan2-7B-Chat,classification,3,accuracy,100,100,26.0
Baichuan2-7B-Chat,classification,3,macro_f1,100,100,19.44692788771251
Baichuan2-7B-Chat,reasoning,0,judgment_accuracy,100,100,99.0
Baichuan2-7B-Chat,reasoning,1,judgment_accuracy,100,100,85.0
Baichuan2-7B-Chat,reasoning,3,judgment_accuracy,100,100,92.0
Baichuan2-7B-Chat,structuring,0,cnhi_v2,100,100,72.04549648823057
Baichuan2-7B-Chat,structuring,1,cnhi_v2,100,100,80.06831450519489
Baichuan2-7B-Chat,structuring,3,cnhi_v2,100,100,79.67905697979005
Baichuan2-7B-Chat,relationship,0,micro_f1,50,50,22.2
Baichuan2-7B-Chat,relationship,1,micro_f1,50,50,49.914529914529915
Baichuan2-7B-Chat,relationship,3,micro_f1,50,50,50.92511013215859
Baichuan2-7B-Chat,qa_v4_5,0,recoverable_accuracy,100,50,26.0
Baichuan2-7B-Chat,qa_v4_5,1,recoverable_accuracy,100,50,25.0
Baichuan2-7B-Chat,qa_v4_5,3,recoverable_accuracy,100,50,25.0
chatglm3-6b,classification,0,accuracy,100,100,15.0
chatglm3-6b,classification,0,macro_f1,100,100,12.806544105245404
chatglm3-6b,classification,1,accuracy,100,100,28.000000000000004
chatglm3-6b,classification,1,macro_f1,100,100,30.079554947975996
chatglm3-6b,classification,3,accuracy,100,100,26.0
chatglm3-6b,classification,3,macro_f1,100,100,29.100148579736423
chatglm3-6b,reasoning,0,judgment_accuracy,100,100,74.0
chatglm3-6b,reasoning,1,judgment_accuracy,100,100,88.0
chatglm3-6b,reasoning,3,judgment_accuracy,100,100,95.0
chatglm3-6b,structuring,0,cnhi_v2,100,100,68.79165494929151
chatglm3-6b,structuring,1,cnhi_v2,100,100,72.72617113560484
chatglm3-6b,structuring,3,cnhi_v2,100,100,72.29265508710529
chatglm3-6b,relationship,0,micro_f1,50,50,3.5523978685612785
chatglm3-6b,relationship,1,micro_f1,50,50,43.73522458628842
chatglm3-6b,relationship,3,micro_f1,50,50,37.641154328732746
chatglm3-6b,qa_v4_5,0,recoverable_accuracy,100,50,32.0
chatglm3-6b,qa_v4_5,1,recoverable_accuracy,100,50,26.0
chatglm3-6b,qa_v4_5,3,recoverable_accuracy,100,50,27.0
deepseek-llm-7b-chat,classification,0,accuracy,100,100,26.0
deepseek-llm-7b-chat,classification,0,macro_f1,100,100,24.043683589138134
deepseek-llm-7b-chat,classification,1,accuracy,100,100,36.0
deepseek-llm-7b-chat,classification,1,macro_f1,100,100,33.15994412535544
deepseek-llm-7b-chat,classification,3,accuracy,100,100,32.0
deepseek-llm-7b-chat,classification,3,macro_f1,100,100,32.32171571743764
deepseek-llm-7b-chat,reasoning,0,judgment_accuracy,100,100,98.0
deepseek-llm-7b-chat,reasoning,1,judgment_accuracy,100,100,97.0
deepseek-llm-7b-chat,reasoning,3,judgment_accuracy,100,100,100.0
deepseek-llm-7b-chat,structuring,0,cnhi_v2,100,100,70.53466310647893
deepseek-llm-7b-chat,structuring,1,cnhi_v2,100,100,79.0706850235019
deepseek-llm-7b-chat,structuring,3,cnhi_v2,100,100,76.17882413560928
deepseek-llm-7b-chat,relationship,0,micro_f1,50,50,1.66270783847981
deepseek-llm-7b-chat,relationship,1,micro_f1,50,50,36.06194690265487
deepseek-llm-7b-chat,relationship,3,micro_f1,50,50,50.602409638554214
deepseek-llm-7b-chat,qa_v4_5,0,recoverable_accuracy,100,50,35.0
deepseek-llm-7b-chat,qa_v4_5,1,recoverable_accuracy,100,50,25.0
deepseek-llm-7b-chat,qa_v4_5,3,recoverable_accuracy,100,50,24.0
DeepSeek-R1-Distill-Qwen-32B,classification,0,accuracy,100,100,69.0
DeepSeek-R1-Distill-Qwen-32B,classification,0,macro_f1,100,100,71.94466525749948
DeepSeek-R1-Distill-Qwen-32B,classification,1,accuracy,100,100,53.0
DeepSeek-R1-Distill-Qwen-32B,classification,1,macro_f1,100,100,56.57031900769588
DeepSeek-R1-Distill-Qwen-32B,classification,3,accuracy,100,100,52.0
DeepSeek-R1-Distill-Qwen-32B,classification,3,macro_f1,100,100,59.3130308413168
DeepSeek-R1-Distill-Qwen-32B,reasoning,0,judgment_accuracy,100,100,99.0
DeepSeek-R1-Distill-Qwen-32B,reasoning,1,judgment_accuracy,100,100,98.0
DeepSeek-R1-Distill-Qwen-32B,reasoning,3,judgment_accuracy,100,100,100.0
DeepSeek-R1-Distill-Qwen-32B,structuring,0,cnhi_v2,100,100,65.66662073680403
DeepSeek-R1-Distill-Qwen-32B,structuring,1,cnhi_v2,100,100,75.67075080146861
DeepSeek-R1-Distill-Qwen-32B,structuring,3,cnhi_v2,100,100,75.80945167715436
DeepSeek-R1-Distill-Qwen-32B,relationship,0,micro_f1,50,50,91.38920780711825
DeepSeek-R1-Distill-Qwen-32B,relationship,1,micro_f1,50,50,97.32620320855615
DeepSeek-R1-Distill-Qwen-32B,relationship,3,micro_f1,50,50,97.19222462203024
DeepSeek-R1-Distill-Qwen-32B,qa_v4_5,0,recoverable_accuracy,100,50,90.0
DeepSeek-R1-Distill-Qwen-32B,qa_v4_5,1,recoverable_accuracy,100,50,87.0
DeepSeek-R1-Distill-Qwen-32B,qa_v4_5,3,recoverable_accuracy,100,50,89.0
glm-4-9b-chat,classification,0,accuracy,100,100,65.0
glm-4-9b-chat,classification,0,macro_f1,100,100,62.413060795413735
glm-4-9b-chat,classification,1,accuracy,100,100,66.0
glm-4-9b-chat,classification,1,macro_f1,100,100,63.04931254129116
glm-4-9b-chat,classification,3,accuracy,100,100,69.0
glm-4-9b-chat,classification,3,macro_f1,100,100,65.21254138093552
glm-4-9b-chat,reasoning,0,judgment_accuracy,100,100,95.0
glm-4-9b-chat,reasoning,1,judgment_accuracy,100,100,91.0
glm-4-9b-chat,reasoning,3,judgment_accuracy,100,100,95.0
glm-4-9b-chat,structuring,0,cnhi_v2,100,100,73.2214551641585
glm-4-9b-chat,structuring,1,cnhi_v2,100,100,80.50092385857984
glm-4-9b-chat,structuring,3,cnhi_v2,100,100,80.65331425506719
glm-4-9b-chat,relationship,0,micro_f1,50,50,33.24742268041237
glm-4-9b-chat,relationship,1,micro_f1,50,50,77.89232531500573
glm-4-9b-chat,relationship,3,micro_f1,50,50,73.08132875143184
glm-4-9b-chat,qa_v4_5,0,recoverable_accuracy,100,50,74.0
