model_id,task_id,contrast,metric,orders_per_item,n_items,n_clusters,mean_a_100,mean_b_100,difference_a_minus_b_100,ci95_low_100,ci95_high_100,p_raw,test,ci_method,bootstrap_resamples,signflip_resamples,p_holm,significant_holm_0_05,holm_family_size,holm_family_id
Baichuan2-7B-Chat,classification,W3-G3,accuracy,6,20,20,10.833333333333336,11.666666666666666,-0.8333333333333317,-10.000000000000002,7.500000000000003,1.0,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Baichuan2-7B-Chat,reasoning,W3-G3,judgment_accuracy,6,20,20,95.0,98.33333333333334,-3.3333333333333437,-9.999999999999998,0.0,1.0,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Baichuan2-7B-Chat,structuring,W3-G3,cnhi_v2,6,20,20,66.6250243286069,70.90025031809255,-4.275225989485653,-10.572995789022615,-0.37644580856966353,0.06029397060293971,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Baichuan2-7B-Chat,relationship,W3-G3,micro_f1,6,20,20,31.42361111111111,40.14869888475837,-8.725087773647255,-15.37654742270945,-2.3680420710049206,0.0064993500649935,two-sided centered paired source-cluster bootstrap approximation after six-order within-item averaging; micro-F1 recomputed in each replicate,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,,0.18848115188481152,False,30,matched_order_prespecified_30
Baichuan2-7B-Chat,qa_v4_5,W3-G3,recoverable_accuracy,6,20,16,20.0,20.0,0.0,0.0,0.0,1.0,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Baichuan2-7B-Chat,qa_v4_5,L3-G3,recoverable_accuracy,6,20,16,20.0,20.0,0.0,0.0,0.0,1.0,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
QwQ-32B,classification,W3-G3,accuracy,6,20,20,80.83333333333336,83.33333333333333,-2.499999999999969,-8.333333333333325,3.3333333333333437,0.5901409859014098,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
QwQ-32B,reasoning,W3-G3,judgment_accuracy,6,20,20,96.66666666666666,100.0,-3.3333333333333437,-9.166666666666657,0.0,0.49805019498050196,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
QwQ-32B,structuring,W3-G3,cnhi_v2,6,20,20,80.24109154263506,81.26515195945633,-1.024060416821282,-3.273525770409057,1.105236484053072,0.30756924307569244,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
QwQ-32B,relationship,W3-G3,micro_f1,6,20,20,98.28092243186582,98.49246231155779,-0.21153987969197985,-0.9537091354089922,0.744950700609425,0.6386361363863614,two-sided centered paired source-cluster bootstrap approximation after six-order within-item averaging; micro-F1 recomputed in each replicate,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,,1.0,False,30,matched_order_prespecified_30
QwQ-32B,qa_v4_5,W3-G3,recoverable_accuracy,6,20,16,96.66666666666669,99.16666666666669,-2.500000000000002,-6.481481481481466,0.0,0.5083491650834917,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
QwQ-32B,qa_v4_5,L3-G3,recoverable_accuracy,6,20,16,98.33333333333331,99.16666666666669,-0.8333333333333637,-2.777777777777779,0.0,1.0,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Qwen2.5-7B-Instruct,classification,W3-G3,accuracy,6,20,20,69.16666666666667,73.33333333333334,-4.166666666666674,-9.166666666666679,0.0,0.24717528247175283,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Qwen2.5-7B-Instruct,reasoning,W3-G3,judgment_accuracy,6,20,20,94.16666666666667,95.0,-0.8333333333333304,-2.500000000000002,0.0,1.0,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Qwen2.5-7B-Instruct,structuring,W3-G3,cnhi_v2,6,20,20,79.93125647979198,80.9151723983607,-0.983915918568723,-1.689093741838691,-0.29110661796984116,0.015598440155984402,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,0.4367563243675633,False,30,matched_order_prespecified_30
Qwen2.5-7B-Instruct,relationship,W3-G3,micro_f1,6,20,20,60.807600950118754,75.05960896518837,-14.252008015069617,-19.973649342072726,-9.661320900214216,9.999000099990002e-05,two-sided centered paired source-cluster bootstrap approximation after six-order within-item averaging; micro-F1 recomputed in each replicate,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,,0.0029997000299970007,True,30,matched_order_prespecified_30
Qwen2.5-7B-Instruct,qa_v4_5,W3-G3,recoverable_accuracy,6,20,16,68.33333333333333,66.66666666666666,1.6666666666666718,0.0,4.166666666666652,0.49775022497750226,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Qwen2.5-7B-Instruct,qa_v4_5,L3-G3,recoverable_accuracy,6,20,16,67.5,66.66666666666666,0.8333333333333415,0.0,2.500000000000002,1.0,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Qwen3-8B-NonThinking,classification,W3-G3,accuracy,6,20,20,53.333333333333336,66.66666666666667,-13.333333333333341,-29.166666666666675,0.8333333333333304,0.15628437156284372,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Qwen3-8B-NonThinking,reasoning,W3-G3,judgment_accuracy,6,20,20,86.66666666666666,95.83333333333334,-9.166666666666679,-19.166666666666664,-1.6666666666666607,0.12938706129387062,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Qwen3-8B-NonThinking,structuring,W3-G3,cnhi_v2,6,20,20,81.00629759380004,80.73564274622356,0.2706548475764792,-0.41469159650402954,0.997074922540089,0.4814518548145185,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Qwen3-8B-NonThinking,relationship,W3-G3,micro_f1,6,20,20,79.19962773382969,78.15126050420169,1.048367229628011,-2.530199058319718,6.037799839620858,0.6417358264173583,two-sided centered paired source-cluster bootstrap approximation after six-order within-item averaging; micro-F1 recomputed in each replicate,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,,1.0,False,30,matched_order_prespecified_30
Qwen3-8B-NonThinking,qa_v4_5,W3-G3,recoverable_accuracy,6,20,16,82.5,80.0,2.499999999999991,-7.894736842105255,13.636363636363635,1.0,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Qwen3-8B-NonThinking,qa_v4_5,L3-G3,recoverable_accuracy,6,20,16,83.33333333333334,80.0,3.3333333333333326,-5.000000000000004,14.035087719298245,1.0,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Qwen3-8B-Thinking,classification,W3-G3,accuracy,6,20,20,82.5,78.33333333333333,4.1666666666666625,-1.6666666666666607,9.999999999999986,0.278972102789721,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Qwen3-8B-Thinking,reasoning,W3-G3,judgment_accuracy,6,20,20,98.33333333333331,100.0,-1.666666666666683,-4.1666666666666625,0.0,0.5025497450254974,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Qwen3-8B-Thinking,structuring,W3-G3,cnhi_v2,6,20,20,81.10702401728416,80.74931094539448,0.35771307188967594,-0.8594355175259984,1.994858368123803,0.756024397560244,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Qwen3-8B-Thinking,relationship,W3-G3,micro_f1,6,20,20,94.08740359897172,93.28743545611016,0.7999681428615624,-0.9392525250561988,2.828354373211218,0.4136586341365863,two-sided centered paired source-cluster bootstrap approximation after six-order within-item averaging; micro-F1 recomputed in each replicate,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,,1.0,False,30,matched_order_prespecified_30
Qwen3-8B-Thinking,qa_v4_5,W3-G3,recoverable_accuracy,6,20,16,90.0,88.33333333333331,1.666666666666683,0.0,4.385964912280704,0.4981501849815019,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
Qwen3-8B-Thinking,qa_v4_5,L3-G3,recoverable_accuracy,6,20,16,88.33333333333334,88.33333333333331,2.220446049250313e-14,-2.2727272727272707,2.631578947368418,1.0,two-sided paired sign-flip on six-order-averaged item score; one sign per source cluster,paired percentile source-cluster bootstrap after six-order within-item averaging; 10000 resamples,10000,10000,1.0,False,30,matched_order_prespecified_30
