task_id,shot,contrast,metric,n_items,n_clusters,thinking_mean_100,nonthinking_mean_100,difference_thinking_minus_nonthinking_100,ci95_low_100,ci95_high_100,p_raw,test,ci_method,thinking_correct_nonthinking_wrong,thinking_wrong_nonthinking_correct,discordant_pairs,bootstrap_resamples,signflip_resamples,p_holm,significant_holm_0_05,holm_family_size,holm_family_id
classification,0,Thinking - NonThinking,accuracy,100,100,71.0,56.99999999999999,14.000000000000002,4.999999999999993,23.00000000000001,0.006610751152038574,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,19,5,24,10000,,0.07271826267242432,False,15,qwen3_within_model_constrained_15
classification,1,Thinking - NonThinking,accuracy,100,100,77.0,59.0,18.000000000000004,8.999999999999996,27.999999999999993,0.0005335211753845215,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,22,4,26,10000,,0.006935775279998779,True,15,qwen3_within_model_constrained_15
classification,3,Thinking - NonThinking,accuracy,100,100,76.0,63.0,13.0,4.9750000000000165,21.999999999999996,0.007197380065917969,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,17,4,21,10000,,0.07271826267242432,False,15,qwen3_within_model_constrained_15
reasoning,0,Thinking - NonThinking,judgment_accuracy,100,100,99.0,95.0,4.0000000000000036,0.0,8.999999999999996,0.21875,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,5,1,6,10000,,1.0,False,15,qwen3_within_model_constrained_15
reasoning,1,Thinking - NonThinking,judgment_accuracy,100,100,100.0,98.0,2.0000000000000018,0.0,5.000000000000004,0.5,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,2,0,2,10000,,1.0,False,15,qwen3_within_model_constrained_15
reasoning,3,Thinking - NonThinking,judgment_accuracy,100,100,98.0,97.0,1.0000000000000009,-3.0000000000000027,5.999999999999995,1.0,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,3,2,5,10000,,1.0,False,15,qwen3_within_model_constrained_15
structuring,0,Thinking - NonThinking,cnhi_v2,100,100,78.26953504019455,80.18841690073694,-1.9188818605423763,-5.491084027860695,1.179745672834622,0.21187881211878812,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,10000,1.0,False,15,qwen3_within_model_constrained_15
structuring,1,Thinking - NonThinking,cnhi_v2,100,100,81.50212047909984,80.90144143339215,0.6006790457076971,0.07287193608409598,1.1109639744820932,0.0230976902309769,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,10000,0.20787921207879212,False,15,qwen3_within_model_constrained_15
structuring,3,Thinking - NonThinking,cnhi_v2,100,100,81.5952751271384,81.03700810008588,0.5582670270525059,0.07630623342967491,1.04898342846506,0.029797020297970205,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,10000,0.23837616238376164,False,15,qwen3_within_model_constrained_15
relationship,0,Thinking - NonThinking,micro_f1,50,50,75.65543071161048,43.669250645994836,31.98618006561565,24.014628021024546,39.794358106596626,9.999000099990002e-05,two-sided centered paired source-cluster bootstrap approximation; micro-F1 recomputed from TP/FP/FN in each replicate,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,,0.0014998500149985003,True,15,qwen3_within_model_constrained_15
relationship,1,Thinking - NonThinking,micro_f1,50,50,95.06726457399103,82.13851761846902,12.928746955522008,5.856335882294591,21.442062209991754,0.0023997600239976003,two-sided centered paired source-cluster bootstrap approximation; micro-F1 recomputed from TP/FP/FN in each replicate,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,,0.028797120287971205,True,15,qwen3_within_model_constrained_15
relationship,3,Thinking - NonThinking,micro_f1,50,50,94.7603121516165,80.34398034398035,14.416331807636151,6.3252878025486945,22.358002154062454,0.00039996000399960006,two-sided centered paired source-cluster bootstrap approximation; micro-F1 recomputed from TP/FP/FN in each replicate,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,,0.005599440055994401,True,15,qwen3_within_model_constrained_15
qa_v4_5,0,Thinking - NonThinking,recoverable_accuracy,100,50,92.0,86.0,6.000000000000005,2.0000000000000018,10.999999999999998,0.03125,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,6,0,6,10000,,0.23837616238376164,False,15,qwen3_within_model_constrained_15
qa_v4_5,1,Thinking - NonThinking,recoverable_accuracy,100,50,91.0,85.0,6.000000000000005,1.0000000000000009,12.0,0.03125,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,6,0,6,10000,,0.23837616238376164,False,15,qwen3_within_model_constrained_15
qa_v4_5,3,Thinking - NonThinking,recoverable_accuracy,100,50,89.0,88.0,1.0000000000000009,-2.0000000000000018,4.0000000000000036,1.0,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,2,1,3,10000,,1.0,False,15,qwen3_within_model_constrained_15
