task_id,item_id,source_cluster,models,settings,repeats_per_model_setting,expected_total_output_rows,actual_total_output_rows
classification,CLS-012,CLS-012,5,3,5,75,75
classification,CLS-022,CLS-022,5,3,5,75,75
classification,CLS-024,CLS-024,5,3,5,75,75
classification,CLS-029,CLS-029,5,3,5,75,75
classification,CLS-043,CLS-043,5,3,5,75,75
classification,CLS-047,CLS-047,5,3,5,75,75
classification,CLS-050,CLS-050,5,3,5,75,75
classification,CLS-063,CLS-063,5,3,5,75,75
classification,CLS-064,CLS-064,5,3,5,75,75
classification,CLS-092,CLS-092,5,3,5,75,75
classification,CLS-093,CLS-093,5,3,5,75,75
continuation,CON-005,CON-005,5,3,5,75,75
continuation,CON-011,CON-011,5,3,5,75,75
continuation,CON-020,CON-020,5,3,5,75,75
continuation,CON-035,CON-035,5,3,5,75,75
continuation,CON-042,CON-042,5,3,5,75,75
continuation,CON-050,CON-050,5,3,5,75,75
continuation,CON-060,CON-060,5,3,5,75,75
continuation,CON-065,CON-065,5,3,5,75,75
continuation,CON-076,CON-076,5,3,5,75,75
continuation,CON-086,CON-086,5,3,5,75,75
continuation,CON-100,CON-100,5,3,5,75,75
qa_v4_5,QA45-TEST-003,QA45-SU-002,5,3,5,75,75
qa_v4_5,QA45-TEST-012,QA45-SU-006,5,3,5,75,75
qa_v4_5,QA45-TEST-031,QA45-SU-016,5,3,5,75,75
qa_v4_5,QA45-TEST-038,QA45-SU-019,5,3,5,75,75
qa_v4_5,QA45-TEST-039,QA45-SU-020,5,3,5,75,75
qa_v4_5,QA45-TEST-045,QA45-SU-023,5,3,5,75,75
qa_v4_5,QA45-TEST-055,QA45-SU-028,5,3,5,75,75
qa_v4_5,QA45-TEST-056,QA45-SU-028,5,3,5,75,75
qa_v4_5,QA45-TEST-061,QA45-SU-031,5,3,5,75,75
qa_v4_5,QA45-TEST-063,QA45-SU-032,5,3,5,75,75
qa_v4_5,QA45-TEST-067,QA45-SU-034,5,3,5,75,75
qa_v4_5,QA45-TEST-075,QA45-SU-038,5,3,5,75,75
qa_v4_5,QA45-TEST-087,QA45-SU-044,5,3,5,75,75
qa_v4_5,QA45-TEST-091,QA45-SU-046,5,3,5,75,75
qa_v4_5,QA45-TEST-098,QA45-SU-049,5,3,5,75,75
reasoning,REA-003,3,5,3,5,75,75
reasoning,REA-021,21,5,3,5,75,75
reasoning,REA-027,27,5,3,5,75,75
reasoning,REA-046,46,5,3,5,75,75
reasoning,REA-048,48,5,3,5,75,75
reasoning,REA-058,58,5,3,5,75,75
reasoning,REA-063,63,5,3,5,75,75
reasoning,REA-064,64,5,3,5,75,75
reasoning,REA-069,69,5,3,5,75,75
reasoning,REA-070,70,5,3,5,75,75
reasoning,REA-094,94,5,3,5,75,75
reasoning,REA-099,99,5,3,5,75,75
relationship,REL-001,REL-001,5,3,5,75,75
relationship,REL-003,REL-003,5,3,5,75,75
relationship,REL-004,REL-004,5,3,5,75,75
relationship,REL-007,REL-007,5,3,5,75,75
relationship,REL-014,REL-014,5,3,5,75,75
relationship,REL-026,REL-026,5,3,5,75,75
relationship,REL-027,REL-027,5,3,5,75,75
relationship,REL-035,REL-035,5,3,5,75,75
relationship,REL-039,REL-039,5,3,5,75,75
relationship,REL-044,REL-044,5,3,5,75,75
relationship,REL-047,REL-047,5,3,5,75,75
relationship,REL-048,REL-048,5,3,5,75,75
rewriting,REW-001,3,5,3,5,75,75
rewriting,REW-014,19,5,3,5,75,75
rewriting,REW-023,24,5,3,5,75,75
rewriting,REW-042,35,5,3,5,75,75
rewriting,REW-044,35,5,3,5,75,75
rewriting,REW-046,39,5,3,5,75,75
rewriting,REW-047,39,5,3,5,75,75
rewriting,REW-048,39,5,3,5,75,75
rewriting,REW-049,51,5,3,5,75,75
rewriting,REW-055,62,5,3,5,75,75
rewriting,REW-077,76,5,3,5,75,75
rewriting,REW-100,100,5,3,5,75,75
story_generation,GEN-004,GEN-004,5,3,5,75,75
story_generation,GEN-012,GEN-012,5,3,5,75,75
story_generation,GEN-022,GEN-022,5,3,5,75,75
story_generation,GEN-031,GEN-031,5,3,5,75,75
story_generation,GEN-041,GEN-041,5,3,5,75,75
story_generation,GEN-047,GEN-047,5,3,5,75,75
story_generation,GEN-064,GEN-064,5,3,5,75,75
story_generation,GEN-069,GEN-069,5,3,5,75,75
story_generation,GEN-077,GEN-077,5,3,5,75,75
story_generation,GEN-091,GEN-091,5,3,5,75,75
story_generation,GEN-095,GEN-095,5,3,5,75,75
structuring,STR-007,7,5,3,5,75,75
structuring,STR-017,17,5,3,5,75,75
structuring,STR-019,19,5,3,5,75,75
structuring,STR-020,20,5,3,5,75,75
structuring,STR-034,34,5,3,5,75,75
structuring,STR-048,48,5,3,5,75,75
structuring,STR-058,58,5,3,5,75,75
structuring,STR-064,64,5,3,5,75,75
structuring,STR-070,70,5,3,5,75,75
structuring,STR-072,72,5,3,5,75,75
structuring,STR-075,75,5,3,5,75,75
structuring,STR-079,79,5,3,5,75,75
structuring,STR-088,88,5,3,5,75,75
structuring,STR-094,94,5,3,5,75,75
structuring,STR-095,95,5,3,5,75,75
