model_id,setting,setting_label,task_id,valid_pairs,total_pairs,missing_pairs,coverage_rate,mean_pairwise_BERTScore,duplicate_of_setting
Baichuan2-7B-Chat,BASE_R5,Default,continuation,110,110,0,1.0,0.9999999729069796,
Baichuan2-7B-Chat,BASE_R5,Default,rewriting,110,120,10,0.9166666666666666,0.9999999674883756,
Baichuan2-7B-Chat,BASE_R5,Default,story_generation,110,110,0,1.0,0.9999999945813959,
Baichuan2-7B-Chat,BASE_R5,Default,structuring,150,150,0,1.0,0.9999999562899272,
Baichuan2-7B-Chat,T02_R5,T=0.2,continuation,110,110,0,1.0,0.7911868913607164,
Baichuan2-7B-Chat,T02_R5,T=0.2,rewriting,120,120,0,1.0,0.8413851136962572,
Baichuan2-7B-Chat,T02_R5,T=0.2,story_generation,102,110,8,0.9272727272727272,0.8398115144056433,
Baichuan2-7B-Chat,T02_R5,T=0.2,structuring,146,150,4,0.9733333333333334,0.8893138586658321,
Baichuan2-7B-Chat,T07_R5,T=0.7,continuation,110,110,0,1.0,0.7633400857448578,
Baichuan2-7B-Chat,T07_R5,T=0.7,rewriting,120,120,0,1.0,0.7907071491082509,
Baichuan2-7B-Chat,T07_R5,T=0.7,story_generation,106,110,4,0.9636363636363636,0.8086860101178007,
Baichuan2-7B-Chat,T07_R5,T=0.7,structuring,146,150,4,0.9733333333333334,0.8352228525566728,
QwQ-32B,BASE_R5,Default,continuation,110,110,0,1.0,0.7129172373901714,
QwQ-32B,BASE_R5,Default,rewriting,120,120,0,1.0,0.7481568157672882,
QwQ-32B,BASE_R5,Default,story_generation,110,110,0,1.0,0.7165165906602686,
QwQ-32B,BASE_R5,Default,structuring,150,150,0,1.0,0.8343235011895498,
QwQ-32B,T02_R5,T=0.2,continuation,110,110,0,1.0,0.7161359689452431,
QwQ-32B,T02_R5,T=0.2,rewriting,120,120,0,1.0,0.7762675647934277,
QwQ-32B,T02_R5,T=0.2,story_generation,110,110,0,1.0,0.7242913706736132,
QwQ-32B,T02_R5,T=0.2,structuring,150,150,0,1.0,0.8502054814497629,
QwQ-32B,T07_R5,T=0.7,continuation,110,110,0,1.0,0.716149095513604,
QwQ-32B,T07_R5,T=0.7,rewriting,120,120,0,1.0,0.745314541955789,
QwQ-32B,T07_R5,T=0.7,story_generation,110,110,0,1.0,0.7165409592064944,
QwQ-32B,T07_R5,T=0.7,structuring,150,150,0,1.0,0.8297122883796691,
Qwen2.5-7B-Instruct,BASE_R5,Default,continuation,110,110,0,1.0,1.0000000270930203,
Qwen2.5-7B-Instruct,BASE_R5,Default,rewriting,120,120,0,1.0,0.9999999652306238,
Qwen2.5-7B-Instruct,BASE_R5,Default,story_generation,110,110,0,1.0,0.9999999783255837,
Qwen2.5-7B-Instruct,BASE_R5,Default,structuring,150,150,0,1.0,0.9999999880790711,
Qwen2.5-7B-Instruct,T02_R5,T=0.2,continuation,110,110,0,1.0,0.9081241407177665,
Qwen2.5-7B-Instruct,T02_R5,T=0.2,rewriting,120,120,0,1.0,0.8727871080239614,
Qwen2.5-7B-Instruct,T02_R5,T=0.2,story_generation,110,110,0,1.0,0.8071811302141709,
Qwen2.5-7B-Instruct,T02_R5,T=0.2,structuring,150,150,0,1.0,0.9531086067358653,
Qwen2.5-7B-Instruct,T07_R5,T=0.7,continuation,110,110,0,1.0,0.8097864291884682,
Qwen2.5-7B-Instruct,T07_R5,T=0.7,rewriting,120,120,0,1.0,0.8253462910652161,
Qwen2.5-7B-Instruct,T07_R5,T=0.7,story_generation,106,110,4,0.9636363636363636,0.7697906578486821,
Qwen2.5-7B-Instruct,T07_R5,T=0.7,structuring,150,150,0,1.0,0.8655966933568319,
Qwen3-8B-NonThinking,BASE_R5,Default,continuation,110,110,0,1.0,0.8001287140629508,
Qwen3-8B-NonThinking,BASE_R5,Default,rewriting,120,120,0,1.0,0.8727788577477137,
Qwen3-8B-NonThinking,BASE_R5,Default,story_generation,110,110,0,1.0,0.7653824318539012,
Qwen3-8B-NonThinking,BASE_R5,Default,structuring,150,150,0,1.0,0.9460323746999105,
Qwen3-8B-NonThinking,T02_R5,T=0.2,continuation,110,110,0,1.0,0.8697059300812808,
Qwen3-8B-NonThinking,T02_R5,T=0.2,rewriting,120,120,0,1.0,0.9309936766823133,
Qwen3-8B-NonThinking,T02_R5,T=0.2,story_generation,110,110,0,1.0,0.8265129853378642,
Qwen3-8B-NonThinking,T02_R5,T=0.2,structuring,150,150,0,1.0,0.9829237747192383,
Qwen3-8B-NonThinking,T07_R5,T=0.7,continuation,110,110,0,1.0,0.8001287140629508,BASE_R5
Qwen3-8B-NonThinking,T07_R5,T=0.7,rewriting,120,120,0,1.0,0.8727788577477137,BASE_R5
Qwen3-8B-NonThinking,T07_R5,T=0.7,story_generation,110,110,0,1.0,0.7653824318539012,BASE_R5
Qwen3-8B-NonThinking,T07_R5,T=0.7,structuring,150,150,0,1.0,0.9460323746999105,BASE_R5
Qwen3-8B-Thinking,BASE_R5,Default,continuation,110,110,0,1.0,0.7416456954045729,
Qwen3-8B-Thinking,BASE_R5,Default,rewriting,120,120,0,1.0,0.7817736148834229,
Qwen3-8B-Thinking,BASE_R5,Default,story_generation,110,110,0,1.0,0.7333852242339741,
Qwen3-8B-Thinking,BASE_R5,Default,structuring,150,150,0,1.0,0.8575949291388194,
Qwen3-8B-Thinking,T02_R5,T=0.2,continuation,110,110,0,1.0,0.7506972740996968,
Qwen3-8B-Thinking,T02_R5,T=0.2,rewriting,120,120,0,1.0,0.7960424885153771,
Qwen3-8B-Thinking,T02_R5,T=0.2,story_generation,110,110,0,1.0,0.7408422865650871,
Qwen3-8B-Thinking,T02_R5,T=0.2,structuring,150,150,0,1.0,0.8786252844333649,
Qwen3-8B-Thinking,T07_R5,T=0.7,continuation,110,110,0,1.0,0.7395842210813002,
Qwen3-8B-Thinking,T07_R5,T=0.7,rewriting,120,120,0,1.0,0.7910761440793673,
Qwen3-8B-Thinking,T07_R5,T=0.7,story_generation,110,110,0,1.0,0.7342995730313387,
Qwen3-8B-Thinking,T07_R5,T=0.7,structuring,150,150,0,1.0,0.8512426181634267,
