model_id,display_name,Classification: macro-F1__estimate_100,Classification: macro-F1__ci95_low_100,Classification: macro-F1__ci95_high_100,QA: accuracy__estimate_100,QA: accuracy__ci95_low_100,QA: accuracy__ci95_high_100,Reasoning: judgment accuracy__estimate_100,Reasoning: judgment accuracy__ci95_low_100,Reasoning: judgment accuracy__ci95_high_100,Relationships: micro-F1__estimate_100,Relationships: micro-F1__ci95_low_100,Relationships: micro-F1__ci95_high_100,Structuring: CNHI__estimate_100,Structuring: CNHI__ci95_low_100,Structuring: CNHI__ci95_high_100
Baichuan2-7B-Chat,Baichuan2-7B-Chat,9.075288972196189,3.0467423244145984,14.68940444438547,26.0,17.0,36.0,99.0,97.0,100.0,22.2,14.990044015929573,29.117550856268142,72.04549648823058,68.02360306748754,75.38289777553287
chatglm3-6b,ChatGLM3-6B,12.806544105245404,5.717650315052912,18.676128188699344,32.0,22.0,42.0,74.0,65.0,82.0,3.5523978685612785,0.893956978753149,7.092408409920682,68.79165494929153,64.69998024508999,72.25201813464682
deepseek-llm-7b-chat,DeepSeek-LLM-7B-Chat,24.043683589138137,14.408233927125139,31.90460006760041,35.0,26.0,45.0,98.0,95.0,100.0,1.66270783847981,0.4733587925077287,3.217821782178218,70.53466310647893,66.28549113324492,74.13380934067119
DeepSeek-R1-Distill-Qwen-32B,DeepSeek-R1-Distill-Qwen-32B,71.94466525749948,60.932652724868205,79.5261621751511,90.0,84.0,95.0,99.0,97.0,100.0,91.38920780711825,86.22750367034526,95.41899441340782,65.666620736804,59.27683516660163,71.44680990482156
glm-4-9b-chat,GLM-4-9B-Chat,62.41306079541374,51.78829724205899,70.37140010912894,74.0,66.0,81.0,95.0,90.0,99.0,33.24742268041237,25.710782750151505,41.598864536933284,73.22145516415851,69.23584337585409,76.69439495856922
internlm2_5-7b-chat,InternLM2.5-7B-Chat,60.88385909677776,49.77035468981077,69.04284638429237,87.0,81.0,93.0,88.0,81.0,94.0,19.31216931216931,14.607944661813693,24.15008073613661,40.45849316805695,32.53123816056523,48.37721112562297
Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,39.88429539580435,29.890439124866642,47.53413157147088,46.0,37.0,55.00000000000001,97.0,93.0,100.0,22.967741935483872,17.176051178808557,29.30608920897192,54.73039679186563,47.81349994585552,61.13807232844704
Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,50.92877298140457,39.63527674849943,59.381303193671265,75.0,66.0,83.0,94.0,89.0,98.0,20.584498094027953,14.521212675357248,27.23838063340972,55.12451168309413,48.139963445245904,61.87733967769788
Qwen3-8B-NonThinking,Qwen3-8B Non-Thinking,54.20400306763943,42.62842981907857,62.73124773837018,86.0,80.0,92.0,95.0,90.0,99.0,43.669250645994836,35.19807008633825,52.55497847651133,80.18841690073691,78.17542905948935,81.51534936303548
QwQ-32B,QwQ-32B,77.28838523904938,67.1979470489638,84.59927752064678,100.0,100.0,100.0,99.0,97.0,100.0,94.4632768361582,89.32022453503991,98.07475092395937,79.97335913931794,77.34750591527302,81.88777745411616
Doubao,Doubao-Seed-1.6,82.17653652286357,72.91267188862884,88.6113251227312,98.0,95.0,100.0,98.0,95.0,100.0,92.42761692650335,87.65133171912834,95.9349593495935,78.50659193978228,76.5694151638724,79.85523359962204
