model_id,display_name,Recoverable records (%)__estimate_100,Recoverable records (%)__ci95_low_100,Recoverable records (%)__ci95_high_100,Field semantic alignment__estimate_100,Field semantic alignment__ci95_low_100,Field semantic alignment__ci95_high_100,Strict format (%)__estimate_100,Strict format (%)__ci95_low_100,Strict format (%)__ci95_high_100
Baichuan2-7B-Chat,Baichuan2-7B-Chat,94.0,89.0,98.0,61.13930015762647,59.68383463546634,62.57775854741533,6.0,2.0,11.0
chatglm3-6b,ChatGLM3-6B,93.0,88.0,98.0,57.168035020430885,55.30593106076122,58.79619432662925,67.0,57.99999999999999,76.0
deepseek-llm-7b-chat,DeepSeek-LLM-7B-Chat,93.0,88.0,98.0,58.27687581380208,55.49077838708957,60.67621874883772,62.0,52.0,71.0
DeepSeek-R1-Distill-Qwen-32B,DeepSeek-R1-Distill-Qwen-32B,82.0,74.0,89.0,58.20733606815337,53.9039607239266,61.97916055992244,11.0,5.0,17.0
glm-4-9b-chat,GLM-4-9B-Chat,94.0,89.0,98.0,60.627223153909036,57.41304183627168,63.47071081697941,24.0,16.0,33.0
internlm2_5-7b-chat,InternLM2.5-7B-Chat,51.0,41.0,61.0,45.101074248552315,39.893676442901295,50.25023738021651,31.0,22.0,40.0
Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,72.0,63.0,80.0,51.50760644674301,47.56475788305204,55.13671344717343,66.0,56.00000000000001,75.0
Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,71.0,62.0,80.0,56.361071745554604,53.38288425828019,59.02604178264737,41.0,32.0,51.0
Qwen3-8B-NonThinking,Qwen3-8B Non-Thinking,99.0,97.0,100.0,67.71537949641545,66.21938020437955,68.96705904081463,0.0,0.0,0.0
QwQ-32B,QwQ-32B,98.0,95.0,100.0,68.06916862726213,66.13108685712021,69.57362325787545,12.0,6.0,19.0
Doubao,Doubao-Seed-1.6,99.0,97.0,100.0,65.20369310180345,63.44388839453459,66.63566250974934,0.0,0.0,0.0
